존타입,존ID,존이름,레벨범위,몬스터NPC_ID,몬스터이름,몬스터레벨,몬스터HP,드롭아이템ID,드롭아이템이름,아이템종류,아이템분류,스탯,클래스,특수효과,드롭확률,드롭확률(%),최소수량,최대수량
필드,map_68,말하는 섬,1~60,45005,개구리,1,1,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45010,토끼,2,7,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45012,토끼,2,7,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45021,사슴,3,25,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45022,사슴,3,25,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45039,고양이,5,20,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45040,곰,5,50,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,13,36
필드,map_68,말하는 섬,1~60,45046,비글,5,20,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45047,세인트 버나드,5,30,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45048,여우,5,15,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45049,열혈 토끼,5,20,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45053,허스키,5,50,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45025,그렘린,4,50,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45033,임프,5,20,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,13,36
필드,map_68,말하는 섬,1~60,45008,고블린,2,3,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,10,30
필드,map_68,말하는 섬,1~60,45009,오크,2,6,transform_scroll,변신주문서,소비,주문서,,KEW,,0.001,0.1%,1,1
필드,map_68,말하는 섬,1~60,45009,오크,2,6,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,10,30
필드,map_68,말하는 섬,1~60,45018,오크,2,6,transform_scroll,변신주문서,소비,주문서,,KEW,,0.01,1%,1,1
필드,map_68,말하는 섬,1~60,45018,오크,2,6,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,10,30
필드,map_68,말하는 섬,1~60,45023,멧돼지,6,20,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45043,늑대,5,30,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45060,슬라임,6,60,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45068,괴물 눈,7,40,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45126,돌 골렘,13,150,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,37,72
필드,map_68,말하는 섬,1~60,45134,돌 골렘,13,150,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,37,72
필드,map_68,말하는 섬,1~60,45768,돌 골렘,13,350,,(드롭 없음),,,,,,,,,
필드,map_68,말하는 섬,1~60,45136,셀로브,14,100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,41,78
